,Ref Amp,Ref PW,Ref Freq,Ref Dur,Active Channels,Return Channels,Session
1,400,100,50,500,15,96,135
2,400,150,50,500,15,64,135
3,400,200,50,500,15,64,135
4,400,250,50,500,15,64,135
0,400,100,50,500,15,32,136
1,400,100,50,500,15,64,136
2,400,150,50,500,15,64,136
3,400,200,50,500,15,64,136
4,400,250,50,500,15,64,136
0,400,100,50,500,15,16,137
1,400,100,50,500,15,128,137
2,400,150,50,500,15,16,137
3,400,150,50,500,15,128,137
4,400,200,50,500,15,128,137
5,400,250,50,500,15,128,137
0,400,100,50,500,15,16,138
1,400,100,50,500,15,128,138
2,400,150,50,500,15,16,138
3,400,200,50,500,15,16,138
4,400,250,50,500,15,16,138
0,400,100,50,500,15,16,139
1,400,100,50,500,15,128,139
2,400,150,50,500,15,16,139
3,400,200,50,500,15,16,139
4,400,250,50,500,15,16,139
0,400,100,50,500,15,16,140
1,400,100,50,500,15,128,140
2,400,150,50,500,15,16,140
3,400,200,50,500,15,16,140
4,400,250,50,500,15,16,140
0,400,100,50,500,15,16,141
1,400,150,50,500,15,16,141
2,600,150,50,500,15,16,141
3,600,200,50,500,15,16,141
4,600,250,50,500,15,16,141
0,400,100,50,500,15,32,142
1,400,150,50,500,15,32,142
2,400,200,50,500,15,32,142
3,400,250,50,500,15,32,142
0,400,100,50,500,15,16,143
1,400,100,50,500,15,32,143
2,400,150,50,500,15,32,143
3,400,200,50,500,15,32,143
4,400,250,50,500,15,32,143
0,0,200,50,500,15,0,144
1,0,200,50,500,15,32,144
2,0,200,50,500,15,64,144
0,0,100,50,500,15,16,145
1,0,100,50,500,15,32,145
2,200,100,50,500,15,32,145
3,400,100,50,500,15,32,145
4,600,100,50,500,15,32,145
0,0,0,0,0,15,128,146
1,0,100,50,500,15,16,146
2,0,100,50,500,15,128,146
3,200,100,50,500,15,16,146
4,200,100,50,500,15,128,146
5,400,100,50,500,15,64,146
6,400,100,50,500,15,128,146
0,0,100,50,500,15,32,147
1,200,100,50,500,15,32,147
2,400,100,50,500,15,32,147
0,0,100,50,500,15,16,148
1,200,100,50,500,15,16,148
2,400,100,50,500,15,16,148
0,0,100,50,500,15,32,149
1,200,100,50,500,15,32,149
2,400,100,50,500,15,32,149
0,0,100,50,500,15,16,150
1,200,100,50,500,15,16,150
2,400,100,50,500,15,16,150
0,0,100,50,500,15,32,151
1,200,100,50,500,15,32,151
2,400,100,50,500,15,32,151
0,0,100,50,500,15,16,152
1,200,100,50,500,15,16,152
2,400,100,50,500,15,16,152
0,0,100,50,500,15,32,153
1,200,100,50,500,15,32,153
2,400,100,50,500,15,32,153
0,0,100,50,500,15,16,154
1,200,100,50,500,15,16,154
2,400,100,50,500,15,16,154
0,0,100,50,500,15,32,155
1,200,100,50,500,15,32,155
2,400,100,50,500,15,32,155
0,0,100,50,500,15,16,156
1,200,100,50,500,15,16,156
2,400,100,50,500,15,16,156
0,0,100,50,500,15,32,157
1,200,100,50,500,15,32,157
2,400,100,50,500,15,32,157
3,600,100,50,500,15,32,157
0,0,100,50,500,15,16,158
1,200,100,50,500,15,16,158
2,400,100,50,500,15,16,158
0,0,100,50,500,15,32,159
1,200,100,50,500,15,32,159
2,400,100,50,500,15,32,159
3,600,100,50,500,15,32,159
0,0,100,50,500,15,16,160
1,200,100,50,500,15,16,160
2,400,100,50,500,15,16,160
3,600,100,50,500,15,16,160
0,0,100,50,500,15,16,161
1,200,100,50,500,15,16,161
2,400,100,50,500,15,16,161
0,0,100,50,500,15,32,162
1,200,100,50,500,15,32,162
2,400,100,50,500,15,32,162
0,0,100,50,500,15,32,163
1,200,100,50,500,15,32,163
2,400,100,50,500,15,32,163
0,0,100,50,500,15,32,164
1,200,100,50,500,15,32,164
2,400,100,50,500,15,32,164
0,0,100,50,500,15,16,165
1,200,100,50,500,15,16,165
2,400,100,50,500,15,16,165
3,600,100,50,500,15,16,165
0,0,100,50,500,15,32,166
1,200,100,50,500,15,32,166
2,400,100,50,500,15,32,166
3,600,100,50,500,15,32,166
0,0,100,50,500,15,16,167
1,200,100,50,500,15,16,167
2,400,100,50,500,15,16,167
0,0,100,50,500,15,32,168
1,200,100,50,500,15,32,168
2,400,100,50,500,15,32,168
0,0,100,50,500,15,16,169
1,200,100,50,500,15,16,169
