Monkey,Date,Ref Amp,Ref PW,Ref Freq,Ref Dur,Active Channels,Return Channels,Comp Amp,Comp PW,Misses,Hits,FAs,CRs
Y,20161114,0,0,0,0,15,32,135,300,0,38,8,35
Y,20161114,0,0,0,0,15,32,135,350,1,35,11,30
Y,20161114,0,0,0,0,15,32,135,400,0,36,9,33
Y,20161114,0,0,0,0,15,32,135,450,0,35,9,23
Y,20161114,0,0,0,0,15,32,135,500,0,37,4,32
Y,20161128,0,0,0,0,0,224,135,150,1,0,0,0
Y,20161128,0,0,0,0,0,224,135,300,1,0,0,3
Y,20161128,0,0,0,0,4,224,135,150,0,0,0,1
Y,20161128,0,0,0,0,4,224,135,350,0,1,0,0
Y,20161128,0,0,0,0,4,224,135,400,1,0,0,0
Y,20161128,0,0,0,0,8,128,135,100,12,4,8,11
Y,20161128,0,0,0,0,8,128,135,150,4,11,13,7
Y,20161128,0,0,0,0,8,128,135,200,2,16,6,7
Y,20161128,0,0,0,0,8,128,135,250,0,17,5,18
Y,20161128,0,0,0,0,8,128,135,300,2,16,6,17
Y,20161128,0,0,0,0,8,128,135,350,1,16,11,16
Y,20161128,0,0,0,0,8,128,135,400,1,14,10,5
Y,20161128,0,0,0,0,8,128,135,450,1,12,17,16
Y,20161128,0,0,0,0,8,128,135,500,0,13,8,13
Y,20161128,0,0,0,0,8,192,135,500,1,0,0,0
Y,20161128,0,0,0,0,12,192,135,500,0,0,0,2
Y,20161128,0,0,0,0,12,224,135,150,0,1,0,0
Y,20161128,0,0,0,0,12,224,135,250,0,1,0,0
Y,20161128,0,0,0,0,12,240,135,500,0,0,0,1
Y,20161128,0,0,0,0,15,240,135,200,0,1,0,1
Y,20161128,0,0,0,0,15,240,135,250,0,1,0,0
Y,20161128,0,0,0,0,15,240,135,500,0,0,0,3
Y,20161128,0,0,0,0,16,224,135,100,2,0,1,1
Y,20161128,0,0,0,0,16,224,135,200,1,0,0,0
Y,20161128,0,0,0,0,16,224,135,350,1,0,0,4
Y,20161128,0,0,0,0,16,224,135,450,2,0,0,2
Y,20161128,0,0,0,0,16,224,135,500,1,0,0,0
Y,20161128,0,0,0,0,29,224,135,300,1,0,0,0
Y,20161128,0,0,0,0,48,192,135,400,0,1,0,0
Y,20161130,0,0,0,0,15,192,20,200,27,9,21,20
Y,20161130,0,0,0,0,15,192,40,200,28,13,21,31
Y,20161130,0,0,0,0,15,192,60,200,27,12,17,21
Y,20161130,0,0,0,0,15,192,80,200,27,10,31,23
Y,20161130,0,0,0,0,15,192,100,200,15,23,19,32
Y,20161130,0,0,0,0,15,192,120,200,10,30,25,17
Y,20161130,0,0,0,0,15,192,140,200,5,33,17,27
Y,20161130,0,0,0,0,15,192,160,200,3,33,13,13
Y,20161201,0,0,0,0,15,192,120,100,18,4,11,8
Y,20161201,0,0,0,0,15,192,120,150,12,10,9,13
Y,20161201,0,0,0,0,15,192,120,200,3,18,10,12
Y,20161201,0,0,0,0,15,192,120,250,3,21,5,13
Y,20161201,0,0,0,0,15,192,120,300,2,19,7,21
Y,20161201,0,0,0,0,15,192,120,350,1,23,6,30
Y,20161201,0,0,0,0,15,192,120,400,0,23,8,14
Y,20161201,0,0,0,0,15,192,120,450,0,23,4,10
Y,20161201,0,0,0,0,15,192,120,500,0,20,7,33
Y,20161201,0,0,0,0,15,192,135,100,1,0,0,1
Y,20161201,0,0,0,0,15,192,135,150,0,2,0,4
Y,20161201,0,0,0,0,15,192,135,200,1,1,0,0
Y,20161201,0,0,0,0,15,192,135,300,0,1,0,0
Y,20161201,0,0,0,0,15,192,135,500,0,1,0,0
Y,20161202,0,0,0,0,15,192,60,200,0,0,1,1
Y,20161202,0,0,0,0,15,192,120,100,24,19,26,22
Y,20161202,0,0,0,0,15,192,120,150,25,19,22,25
Y,20161202,0,0,0,0,15,192,120,200,21,18,21,16
Y,20161202,0,0,0,0,15,192,120,250,28,17,35,18
Y,20161202,0,0,0,0,15,192,120,300,28,13,33,17
Y,20161202,0,0,0,0,15,192,120,350,25,12,40,18
Y,20161202,0,0,0,0,15,192,120,400,25,17,29,21
Y,20161202,0,0,0,0,15,192,120,450,19,17,34,25
Y,20161202,0,0,0,0,15,192,120,500,19,20,42,26
Y,20161207,0,0,0,0,15,64,30,200,18,28,33,6
Y,20161207,0,0,0,0,15,64,50,200,17,29,43,14
Y,20161207,0,0,0,0,15,64,70,200,19,24,41,15
Y,20161207,0,0,0,0,15,64,90,200,10,33,33,10
Y,20161207,0,0,0,0,15,64,110,200,2,37,46,13
Y,20161207,0,0,0,0,15,64,130,200,4,40,32,24
Y,20161207,0,0,0,0,15,64,150,200,3,39,61,11
Y,20161207,0,0,0,0,15,64,170,200,3,40,43,14
Y,20161208,0,0,0,0,15,128,30,200,11,15,25,20
Y,20161208,0,0,0,0,15,128,50,200,16,16,24,8
Y,20161208,0,0,0,0,15,128,70,200,11,16,25,14
Y,20161208,0,0,0,0,15,128,90,200,17,13,21,11
Y,20161208,0,0,0,0,15,128,110,200,6,21,30,8
Y,20161208,0,0,0,0,15,128,130,200,2,28,21,21
Y,20161208,0,0,0,0,15,128,150,200,0,24,32,15
Y,20161208,0,0,0,0,15,128,170,200,0,28,17,17
Y,20161209,0,0,0,0,15,128,30,200,34,10,25,23
Y,20161209,0,0,0,0,15,128,50,200,39,8,30,35
Y,20161209,0,0,0,0,15,128,60,200,0,0,1,3
Y,20161209,0,0,0,0,15,128,70,200,38,7,17,8
Y,20161209,0,0,0,0,15,128,90,200,28,18,18,31
Y,20161209,0,0,0,0,15,128,110,200,1,49,8,36
Y,20161209,0,0,0,0,15,128,130,200,1,45,17,42
Y,20161209,0,0,0,0,15,128,150,200,0,47,10,40
Y,20161209,0,0,0,0,15,128,170,200,0,44,17,62
Y,20161212,0,0,0,0,15,128,30,200,24,5,21,22
Y,20161212,0,0,0,0,15,128,50,200,27,14,17,22
Y,20161212,0,0,0,0,15,128,60,200,0,0,1,0
Y,20161212,0,0,0,0,15,128,70,200,35,9,25,19
Y,20161212,0,0,0,0,15,128,90,200,30,10,20,23
Y,20161212,0,0,0,0,15,128,110,200,7,37,18,39
Y,20161212,0,0,0,0,15,128,130,200,0,41,26,35
Y,20161212,0,0,0,0,15,128,150,200,1,41,14,29
Y,20161212,0,0,0,0,15,128,170,200,1,41,14,20
Y,20161212,0,0,0,0,15,128,190,200,0,8,10,7
Y,20161212,0,0,0,0,15,128,367,200,0,0,1,0
Y,20161213,0,0,0,0,15,128,50,200,29,6,23,36
Y,20161213,0,0,0,0,15,128,60,200,0,1,0,1
Y,20161213,0,0,0,0,15,128,70,200,29,6,20,23
Y,20161213,0,0,0,0,15,128,90,200,21,13,25,38
Y,20161213,0,0,0,0,15,128,110,200,2,31,19,44
Y,20161213,0,0,0,0,15,128,130,200,1,33,10,39
Y,20161213,0,0,0,0,15,128,150,200,1,31,16,37
Y,20161213,0,0,0,0,15,128,170,200,0,34,11,48
Y,20161213,0,0,0,0,15,128,190,200,1,32,17,41
Y,20161214,0,0,0,0,15,64,50,200,38,7,14,34
Y,20161214,0,0,0,0,15,64,70,200,24,18,13,29
Y,20161214,0,0,0,0,15,64,90,200,9,31,12,30
Y,20161214,0,0,0,0,15,64,110,200,5,34,20,30
Y,20161214,0,0,0,0,15,64,130,200,2,39,19,46
Y,20161214,0,0,0,0,15,64,150,200,2,39,21,30
Y,20161214,0,0,0,0,15,64,170,200,1,41,7,37
Y,20161214,0,0,0,0,15,64,190,200,2,40,6,32
Y,20161215,0,0,0,0,15,32,30,200,26,4,30,33
Y,20161215,0,0,0,0,15,32,50,200,21,8,16,41
Y,20161215,0,0,0,0,15,32,60,200,0,0,1,2
Y,20161215,0,0,0,0,15,32,70,200,10,17,16,29
Y,20161215,0,0,0,0,15,32,90,200,0,31,9,41
Y,20161215,0,0,0,0,15,32,110,200,0,30,3,26
Y,20161215,0,0,0,0,15,32,130,200,0,31,3,37
Y,20161215,0,0,0,0,15,32,150,200,0,31,11,33
Y,20161215,0,0,0,0,15,32,170,200,0,28,12,39
Y,20161216,0,0,0,0,15,16,30,200,40,0,7,54
Y,20161216,0,0,0,0,15,16,50,200,39,0,3,57
Y,20161216,0,0,0,0,15,16,70,200,37,2,6,53
Y,20161216,0,0,0,0,15,16,90,200,37,3,4,43
Y,20161216,0,0,0,0,15,16,110,200,40,0,4,51
Y,20161216,0,0,0,0,15,16,130,200,36,6,3,50
Y,20161216,0,0,0,0,15,16,150,200,5,35,1,41
Y,20161216,0,0,0,0,15,16,170,200,0,40,2,54
Y,20161219,0,0,0,0,15,32,30,200,32,3,7,42
Y,20161219,0,0,0,0,15,32,50,200,34,3,10,34
Y,20161219,0,0,0,0,15,32,60,200,0,0,1,1
Y,20161219,0,0,0,0,15,32,70,200,26,9,15,32
Y,20161219,0,0,0,0,15,32,90,200,14,20,10,31
Y,20161219,0,0,0,0,15,32,110,200,7,31,5,39
Y,20161219,0,0,0,0,15,32,130,200,5,31,11,26
Y,20161219,0,0,0,0,15,32,150,200,2,34,12,49
Y,20161219,0,0,0,0,15,32,170,200,2,33,9,46
